Movie_Show,Month_Start,Month_End,Type
Nhanh như chớp mùa 3,2020-09,2021-09,comedy
7 nụ cười xuân mùa 5,2021-11,2022-03,comedy
Ký ức vui vẻ mùa 3,2020-11,2021-05,comedy
Cây táo nở hoa,2021-04,2021-09,drama
Nhanh như chớp nhí,2020-09,2021-09,comedy
Những trái tim nhảy nhót,2022-08,2022-08,drama
Anh yêu em được bao lâu,2022-06,2022-11,drama
Khi đàn ông là số 0,2021-03,2021-04,drama
Đứa em thừa kế,2021-04,2022-08,drama
Khi mẹ ra tay,2022-02,2022-06,drama
Hổng cần đàn ông,2020-06,2021-05,drama
Dấu ấn hệ bản lĩnh,2022-05,2022-06,show
Sóng 23,2023-01,2023-01,gala
Sóng 22,2022-01,2022-01,gala
Ngạc nhiên chưa,2022-08,2023-07,comedy
The Khang show,2022-08,2023-05,talkshow
Thời tới rồi,2021-04,2021-11,gameshow
Ca sĩ bí ẩn mùa 5,2021-04,2021-11,music
Rap Việt all-star concert,2021-06,2021-06,gala
Rap Việt mùa 2,2021-10,2022-01,music
Running Man Vietnam - Chơi là chạy,2021-09,2022-01,show
Sóng 21,2021-02,2021-02,gala
Giấc mơ của mẹ,2022-07,2023-01,drama
Nữ chủ,2023-01,2023-03,drama
Hoa vương,2023-04,2023-12,drama
Mặt trời mùa đông,2023-03,2023-07,drama
Người Ấy Là Ai 2022,2022-05,2022-09,show
2 ngày 1 đêm,2022-06,2022-10,show
The Masked Singer,2022-07,2022-10,music
Rap Việt 3,2023-05,2023-09,music
Người Ấy Là Ai 2023,2023-05,2023-08,show
Hành Trình Rực Rỡ,2023-05,2023-10,show
