date,subs
2021-04-01,2973
2021-04-02,2864
2021-04-03,3014
2021-04-04,3118
2021-04-05,2894
2021-04-06,2899
2021-04-07,2864
2021-04-08,2916
2021-04-09,2927
2021-04-10,3053
2021-04-11,3113
2021-04-12,3025
2021-04-13,2981
2021-04-14,3461
2021-04-15,3286
2021-04-16,3458
2021-04-17,3472
2021-04-18,3773
2021-04-19,3812
2021-04-20,5417
2021-04-21,7026
2021-04-22,3001
2021-04-23,3603
2021-04-24,3247
2021-04-25,3198
2021-04-26,3124
2021-04-27,3017
2021-04-28,2839
2021-04-29,2902
2021-04-30,3212
2021-05-01,3151
2021-05-02,3198
2021-05-03,3058
2021-05-04,3044
2021-05-05,2918
2021-05-06,3116
2021-05-07,3212
2021-05-08,3609
2021-05-09,3349
2021-05-10,3014
2021-05-11,3149
2021-05-12,3365
2021-05-13,3373
2021-05-14,3557
2021-05-15,3664
2021-05-16,3571
2021-05-17,3086
2021-05-18,3686
2021-05-19,3982
2021-05-20,4527
2021-05-21,6149
2021-05-22,8697
2021-05-23,14004
2021-05-24,9563
2021-05-25,8039
2021-05-26,6437
2021-05-27,6472
2021-05-28,5828
2021-05-29,7363
2021-05-30,6713
2021-05-31,4236
2021-06-01,5217
2021-06-02,5099
2021-06-03,4921
2021-06-04,5261
2021-06-05,5672
2021-06-06,5661
2021-06-07,5790
2021-06-08,4962
2021-06-09,4872
2021-06-10,4949
2021-06-11,5609
2021-06-12,6543
2021-06-13,6048
2021-06-14,5671
2021-06-15,4540
2021-06-16,5310
2021-06-17,6796
2021-06-18,6376
2021-06-19,6730
2021-06-20,6960
2021-06-21,7601
2021-06-22,6968
2021-06-23,8253
2021-06-24,7610
2021-06-25,8316
2021-06-26,8385
2021-06-27,7398
2021-06-28,7881
2021-06-29,8275
2021-06-30,7883
2021-07-01,10916
2021-07-02,10903
2021-07-03,10708
2021-07-04,9683
2021-07-05,13999
2021-07-06,11833
2021-07-07,11700
2021-07-08,13076
2021-07-09,13322
2021-07-10,12196
2021-07-11,11108
2021-07-12,10478
2021-07-13,8938
2021-07-14,8749
2021-07-15,10703
2021-07-16,10158
2021-07-17,10470
2021-07-18,10092
2021-07-19,9366
2021-07-20,9256
2021-07-21,10179
2021-07-22,10566
2021-07-23,12750
2021-07-24,11171
2021-07-25,10492
2021-07-26,11180
2021-07-27,10105
2021-07-28,12848
2021-07-29,13270
2021-07-30,11549
2021-07-31,10497
2021-08-01,10790
2021-08-02,9431
2021-08-03,9409
2021-08-04,14194
2021-08-05,15550
2021-08-06,14229
2021-08-07,12911
2021-08-08,11966
2021-08-09,9977
2021-08-10,9527
2021-08-11,12939
2021-08-12,12955
2021-08-13,11193
2021-08-14,10666
2021-08-15,10070
2021-08-16,8420
2021-08-17,9305
2021-08-18,11612
2021-08-19,11881
2021-08-20,11254
2021-08-21,12434
2021-08-22,10906
2021-08-23,9281
2021-08-24,9955
2021-08-25,13237
2021-08-26,11878
2021-08-27,11297
2021-08-28,13021
2021-08-29,10760
2021-08-30,9067
2021-08-31,8749
2021-09-01,13067
2021-09-02,12306
2021-09-03,11212
2021-09-04,11399
2021-09-05,10738
2021-09-06,9659
2021-09-07,10094
2021-09-08,15454
2021-09-09,14432
2021-09-10,11393
2021-09-11,13369
2021-09-12,9237
2021-09-13,8346
2021-09-14,8777
2021-09-15,7798
2021-09-16,6875
2021-09-17,7354
2021-09-18,8563
2021-09-19,9325
2021-09-20,7741
2021-09-21,8763
2021-09-22,9190
2021-09-23,9160
2021-09-24,8563
2021-09-25,9886
2021-09-26,8719
2021-09-27,7930
2021-09-28,8174
2021-09-29,9135
2021-09-30,11977
2021-10-01,10741
2021-10-02,10497
2021-10-03,9242
2021-10-04,8853
2021-10-05,8886
2021-10-06,9288
2021-10-07,8683
2021-10-08,8790
2021-10-09,8837
2021-10-10,9067
2021-10-11,8313
2021-10-12,8899
2021-10-13,7152
2021-10-14,8026
2021-10-15,7352
2021-10-16,13873
2021-10-17,10322
2021-10-18,7434
2021-10-19,7697
2021-10-20,6349
2021-10-21,6143
2021-10-22,6056
2021-10-23,8760
2021-10-24,7341
2021-10-25,6157
2021-10-26,5798
2021-10-27,5839
2021-10-28,6817
2021-10-29,7130
2021-10-30,8009
2021-10-31,5886
2021-11-01,6867
2021-11-02,5365
2021-11-03,7189
2021-11-04,6905
2021-11-05,7631
2021-11-06,9344
2021-11-07,7571
2021-11-08,6626
2021-11-09,6820
2021-11-10,7108
2021-11-11,7793
2021-11-12,7185
2021-11-13,6828
2021-11-14,6587
2021-11-15,6026
2021-11-16,7089
2021-11-17,6308
2021-11-18,6519
2021-11-19,6278
2021-11-20,6489
2021-11-21,6590
2021-11-22,7415
2021-11-23,6124
2021-11-24,6056
2021-11-25,7297
2021-11-26,6264
2021-11-27,7368
2021-11-28,7763
2021-11-29,5560
2021-11-30,7056
2021-12-01,6796
2021-12-02,6601
2021-12-03,5941
2021-12-04,7500
2021-12-05,7363
2021-12-06,6105
2021-12-07,6678
2021-12-08,5721
2021-12-09,6563
2021-12-10,6634
2021-12-11,7675
2021-12-12,6469
2021-12-13,6168
2021-12-14,6576
2021-12-15,6256
2021-12-16,6511
2021-12-17,5916
2021-12-18,6445
2021-12-19,8612
2021-12-20,5434
2021-12-21,6560
2021-12-22,5705
2021-12-23,7017
2021-12-24,6217
2021-12-25,6963
2021-12-26,6382
2021-12-27,6105
2021-12-28,5749
2021-12-29,5552
2021-12-30,6184
2021-12-31,6006
2022-01-01,8626
2022-01-02,7212
2022-01-03,6220
2022-01-04,6437
2022-01-05,5987
2022-01-06,5921
2022-01-07,6113
2022-01-08,6390
2022-01-09,6220
2022-01-10,5774
2022-01-11,5683
2022-01-12,5121
2022-01-13,5930
2022-01-14,5828
2022-01-15,6086
2022-01-16,6732
2022-01-17,5672
2022-01-18,7804
2022-01-19,6234
2022-01-20,7604
2022-01-21,6557
2022-01-22,6729
2022-01-23,7461
2022-01-24,6141
2022-01-25,6417
2022-01-26,6675
2022-01-27,6439
2022-01-28,6091
2022-01-29,5500
2022-01-30,6401
2022-01-31,5480
2022-02-01,6001
2022-02-02,6264
2022-02-03,6423
2022-02-04,5987
2022-02-05,6184
2022-02-06,5894
2022-02-07,5798
2022-02-08,5642
2022-02-09,5502
2022-02-10,5771
2022-02-11,5647
2022-02-12,6464
2022-02-13,5543
