"","date","subs"
"1",2021-04-01,2973
"2",2021-04-02,2864
"3",2021-04-03,3014
"4",2021-04-04,3118
"5",2021-04-05,2894
"6",2021-04-06,2899
"7",2021-04-07,2864
"8",2021-04-08,2916
"9",2021-04-09,2927
"10",2021-04-10,3053
"11",2021-04-11,3113
"12",2021-04-12,3025
"13",2021-04-13,2981
"14",2021-04-14,3461
"15",2021-04-15,3286
"16",2021-04-16,3458
"17",2021-04-17,3472
"18",2021-04-18,3773
"19",2021-04-19,3812
"20",2021-04-20,5417
"21",2021-04-21,7026
"22",2021-04-22,3001
"23",2021-04-23,3603
"24",2021-04-24,3247
"25",2021-04-25,3198
"26",2021-04-26,3124
"27",2021-04-27,3017
"28",2021-04-28,2839
"29",2021-04-29,2902
"30",2021-04-30,3212
"31",2021-05-01,3151
"32",2021-05-02,3198
"33",2021-05-03,3058
"34",2021-05-04,3044
"35",2021-05-05,2918
"36",2021-05-06,3116
"37",2021-05-07,3212
"38",2021-05-08,3609
"39",2021-05-09,3349
"40",2021-05-10,3014
"41",2021-05-11,3149
"42",2021-05-12,3365
"43",2021-05-14,3557
"44",2021-05-15,3664
"45",2021-05-16,3571
"46",2021-05-17,3086
"47",2021-05-18,3686
"48",2021-05-19,3982
"49",2021-05-20,4527
"50",2021-05-21,6149
"51",2021-05-22,8697
"52",2021-05-23,14004
"53",2021-05-24,9563
"54",2021-05-25,8039
"55",2021-05-26,6437
"56",2021-05-27,6472
"57",2021-05-28,5828
"58",2021-05-29,7363
"59",2021-05-30,6713
"60",2021-05-31,4236
"61",2021-06-01,5217
"62",2021-06-02,5099
"63",2021-06-03,4921
"64",2021-06-04,5261
"65",2021-06-05,5672
"66",2021-06-06,5661
"67",2021-06-07,5790
"68",2021-06-08,4962
"69",2021-06-09,4872
"70",2021-06-10,4949
"71",2021-06-11,5609
"72",2021-06-12,6543
"73",2021-06-13,6048
"74",2021-06-15,4540
"75",2021-06-16,5310
"76",2021-06-17,6796
"77",2021-06-18,6376
"78",2021-06-19,6730
"79",2021-06-20,6960
"80",2021-06-21,7601
"81",2021-06-22,6968
"82",2021-06-23,8253
"83",2021-06-25,8316
"84",2021-06-26,8385
"85",2021-06-27,7398
"86",2021-06-28,7881
"87",2021-06-29,8275
"88",2021-06-30,7883
"89",2021-07-01,10916
"90",2021-07-02,10903
"91",2021-07-03,10708
"92",2021-07-04,9683
"93",2021-07-05,13999
"94",2021-07-07,11700
"95",2021-07-08,13076
"96",2021-07-09,13322
"97",2021-07-10,12196
"98",2021-07-11,11108
"99",2021-07-12,10478
"100",2021-07-13,8938
"101",2021-07-14,8749
"102",2021-07-15,10703
"103",2021-07-16,10158
"104",2021-07-17,10470
"105",2021-07-18,10092
"106",2021-07-19,9366
"107",2021-07-20,9256
"108",2021-07-21,10179
"109",2021-07-22,10566
"110",2021-07-23,12750
"111",2021-07-24,11171
"112",2021-07-25,10492
"113",2021-07-26,11180
"114",2021-07-27,10105
"115",2021-07-28,12848
"116",2021-07-29,13270
"117",2021-07-30,11549
"118",2021-07-31,10497
"119",2021-08-01,10790
"120",2021-08-02,9431
"121",2021-08-03,9409
"122",2021-08-04,14194
"123",2021-08-05,15550
"124",2021-08-06,14229
"125",2021-08-07,12911
"126",2021-08-08,11966
"127",2021-08-09,9977
"128",2021-08-10,9527
"129",2021-08-11,12939
"130",2021-08-12,12955
"131",2021-08-13,11193
"132",2021-08-15,10070
"133",2021-08-16,8420
"134",2021-08-17,9305
"135",2021-08-18,11612
"136",2021-08-19,11881
"137",2021-08-20,11254
"138",2021-08-21,12434
"139",2021-08-22,10906
"140",2021-08-23,9281
"141",2021-08-24,9955
"142",2021-08-25,13237
"143",2021-08-26,11878
"144",2021-08-27,11297
"145",2021-08-28,13021
"146",2021-08-29,10760
"147",2021-08-30,9067
"148",2021-08-31,8749
"149",2021-09-01,13067
"150",2021-09-02,12306
"151",2021-09-03,11212
"152",2021-09-04,11399
"153",2021-09-05,10738
"154",2021-09-06,9659
"155",2021-09-07,10094
"156",2021-09-08,15454
"157",2021-09-09,14432
"158",2021-09-10,11393
"159",2021-09-11,13369
"160",2021-09-12,9237
"161",2021-09-13,8346
"162",2021-09-14,8777
"163",2021-09-15,7798
"164",2021-09-16,6875
"165",2021-09-17,7354
"166",2021-09-18,8563
"167",2021-09-19,9325
"168",2021-09-20,7741
"169",2021-09-21,8763
"170",2021-09-22,9190
"171",2021-09-23,9160
"172",2021-09-24,8563
"173",2021-09-25,9886
"174",2021-09-26,8719
"175",2021-09-27,7930
"176",2021-09-28,8174
"177",2021-09-29,9135
"178",2021-09-30,11977
"179",2021-10-01,10741
"180",2021-10-02,10497
"181",2021-10-03,9242
"182",2021-10-04,8853
"183",2021-10-05,8886
"184",2021-10-07,8683
"185",2021-10-08,8790
"186",2021-10-09,8837
"187",2021-10-10,9067
"188",2021-10-11,8313
"189",2021-10-13,7152
"190",2021-10-14,8026
"191",2021-10-15,7352
"192",2021-10-16,13873
"193",2021-10-17,10322
"194",2021-10-18,7434
"195",2021-10-19,7697
"196",2021-10-20,6349
"197",2021-10-21,6143
"198",2021-10-22,6056
"199",2021-10-23,8760
"200",2021-10-24,7341
"201",2021-10-25,6157
"202",2021-10-26,5798
"203",2021-10-27,5839
"204",2021-10-28,6817
"205",2021-10-29,7130
"206",2021-10-30,8009
"207",2021-10-31,5886
"208",2021-11-01,6867
"209",2021-11-02,5365
"210",2021-11-04,6905
"211",2021-11-05,7631
"212",2021-11-06,9344
"213",2021-11-07,7571
"214",2021-11-08,6626
"215",2021-11-09,6820
"216",2021-11-10,7108
"217",2021-11-11,7793
"218",2021-11-12,7185
"219",2021-11-13,6828
"220",2021-11-14,6587
"221",2021-11-15,6026
"222",2021-11-16,7089
"223",2021-11-17,6308
"224",2021-11-18,6519
"225",2021-11-19,6278
"226",2021-11-21,6590
"227",2021-11-22,7415
"228",2021-11-23,6124
"229",2021-11-24,6056
"230",2021-11-25,7297
"231",2021-11-26,6264
"232",2021-11-27,7368
"233",2021-11-28,7763
"234",2021-11-29,5560
"235",2021-11-30,7056
"236",2021-12-01,6796
"237",2021-12-02,6601
"238",2021-12-03,5941
"239",2021-12-04,7500
"240",2021-12-05,7363
"241",2021-12-06,6105
"242",2021-12-08,5721
"243",2021-12-09,6563
"244",2021-12-10,6634
"245",2021-12-11,7675
"246",2021-12-12,6469
"247",2021-12-13,6168
"248",2021-12-14,6576
"249",2021-12-15,6256
"250",2021-12-16,6511
"251",2021-12-17,5916
"252",2021-12-18,6445
"253",2021-12-19,8612
"254",2021-12-20,5434
"255",2021-12-21,6560
"256",2021-12-22,5705
"257",2021-12-23,7017
"258",2021-12-24,6217
"259",2021-12-25,6963
"260",2021-12-26,6382
"261",2021-12-27,6105
"262",2021-12-28,5749
"263",2021-12-29,5552
"264",2021-12-30,6184
"265",2021-12-31,6006
"266",2022-01-01,8626
"267",2022-01-02,7212
"268",2022-01-03,6220
"269",2022-01-04,6437
"270",2022-01-05,5987
"271",2022-01-06,5921
"272",2022-01-07,6113
"273",2022-01-08,6390
"274",2022-01-09,6220
"275",2022-01-10,5774
"276",2022-01-11,5683
"277",2022-01-12,5121
"278",2022-01-13,5930
"279",2022-01-14,5828
"280",2022-01-16,6732
"281",2022-01-17,5672
"282",2022-01-18,7804
"283",2022-01-19,6234
"284",2022-01-20,7604
"285",2022-01-21,6557
"286",2022-01-23,7461
"287",2022-01-24,6141
"288",2022-01-25,6417
"289",2022-01-26,6675
"290",2022-01-27,6439
"291",2022-01-28,6091
"292",2022-01-29,5500
"293",2022-01-30,6401
"294",2022-01-31,5480
"295",2022-02-01,6001
"296",2022-02-02,6264
"297",2022-02-03,6423
"298",2022-02-04,5987
"299",2022-02-05,6184
"300",2022-02-06,5894
"301",2022-02-07,5798
"302",2022-02-08,5642
"303",2022-02-09,5502
"304",2022-02-10,5771
"305",2022-02-11,5647
"306",2022-02-12,6464
"307",2022-02-13,5543
"308",2022-02-14,5245
"309",2022-02-15,5436
"310",2022-02-16,5508
"311",2022-02-17,7179
"312",2022-02-18,5508
"313",2022-02-19,7716
"314",2022-02-20,6700
"315",2022-02-21,5850
"316",2022-02-22,6020
"317",2022-02-23,5965
"318",2022-02-24,5845
"319",2022-02-25,6346
"320",2022-02-27,6089
"321",2022-03-01,8927
"322",2022-03-02,5938
"323",2022-03-03,6179
"324",2022-03-04,6505
"325",2022-03-05,7116
"326",2022-03-06,6771
"327",2022-03-07,5710
"328",2022-03-08,5242
"329",2022-03-09,5472
"330",2022-03-10,5913
"331",2022-03-11,6138
"332",2022-03-12,6352
"333",2022-03-13,5779
"334",2022-03-14,5379
"335",2022-03-15,5417
"336",2022-03-16,7017
"337",2022-03-17,5067
"338",2022-03-18,6453
"339",2022-03-19,6064
"340",2022-03-20,5746
"341",2022-03-21,5310
"342",2022-03-22,5491
"343",2022-03-23,5398
"344",2022-03-24,6031
"345",2022-03-25,5398
"346",2022-03-26,5664
"347",2022-03-27,6360
"348",2022-03-28,5327
"349",2022-03-29,4543
"350",2022-03-30,4209
"351",2022-03-31,4667
