date,subs,comedy,drama,show,gala,talkshow,gameshow,music
2021-04-01,2973.0,3,4,0,0,0,1,1
2021-04-02,2864.0,3,3,0,0,0,1,1
2021-04-03,3014.0,3,3,0,0,0,1,1
2021-04-04,3118.0,3,3,0,0,0,1,1
2021-04-05,2894.0,3,3,0,0,0,1,1
2021-04-06,2899.0,3,3,0,0,0,1,1
2021-04-07,2864.0,3,3,0,0,0,1,1
2021-04-08,2916.0,3,3,0,0,0,1,1
2021-04-09,2927.0,3,3,0,0,0,1,1
2021-04-10,3053.0,3,3,0,0,0,1,1
2021-04-11,3113.0,3,3,0,0,0,1,1
2021-04-12,3025.0,3,3,0,0,0,1,1
2021-04-13,2981.0,3,3,0,0,0,1,1
2021-04-14,3461.0,3,3,0,0,0,1,1
2021-04-15,3286.0,3,3,0,0,0,1,1
2021-04-16,3458.0,3,3,0,0,0,1,1
2021-04-17,3472.0,3,3,0,0,0,1,1
2021-04-18,3773.0,3,3,0,0,0,1,1
2021-04-19,3812.0,3,3,0,0,0,1,1
2021-04-20,5417.0,3,3,0,0,0,1,1
2021-04-21,7026.0,3,3,0,0,0,1,1
2021-04-22,3001.0,3,3,0,0,0,1,1
2021-04-23,3603.0,3,3,0,0,0,1,1
2021-04-24,3247.0,3,3,0,0,0,1,1
2021-04-25,3198.0,3,3,0,0,0,1,1
2021-04-26,3124.0,3,3,0,0,0,1,1
2021-04-27,3017.0,3,3,0,0,0,1,1
2021-04-28,2839.0,3,3,0,0,0,1,1
2021-04-29,2902.0,3,3,0,0,0,1,1
2021-04-30,3212.0,3,3,0,0,0,1,1
2021-05-01,3151.0,3,3,0,0,0,1,1
2021-05-02,3198.0,2,2,0,0,0,1,1
2021-05-03,3058.0,2,2,0,0,0,1,1
2021-05-04,3044.0,2,2,0,0,0,1,1
2021-05-05,2918.0,2,2,0,0,0,1,1
2021-05-06,3116.0,2,2,0,0,0,1,1
2021-05-07,3212.0,2,2,0,0,0,1,1
2021-05-08,3609.0,2,2,0,0,0,1,1
2021-05-09,3349.0,2,2,0,0,0,1,1
2021-05-10,3014.0,2,2,0,0,0,1,1
2021-05-11,3149.0,2,2,0,0,0,1,1
2021-05-12,3365.0,2,2,0,0,0,1,1
2021-05-13,3373.0,2,2,0,0,0,1,1
2021-05-14,3557.0,2,2,0,0,0,1,1
2021-05-15,3664.0,2,2,0,0,0,1,1
2021-05-16,3571.0,2,2,0,0,0,1,1
2021-05-17,3086.0,2,2,0,0,0,1,1
2021-05-18,3686.0,2,2,0,0,0,1,1
2021-05-19,3982.0,2,2,0,0,0,1,1
2021-05-20,4527.0,2,2,0,0,0,1,1
2021-05-21,6149.0,2,2,0,0,0,1,1
2021-05-22,8697.0,2,2,0,0,0,1,1
2021-05-23,14004.0,2,2,0,0,0,1,1
2021-05-24,9563.0,2,2,0,0,0,1,1
2021-05-25,8039.0,2,2,0,0,0,1,1
2021-05-26,6437.0,2,2,0,0,0,1,1
2021-05-27,6472.0,2,2,0,0,0,1,1
2021-05-28,5828.0,2,2,0,0,0,1,1
2021-05-29,7363.0,2,2,0,0,0,1,1
2021-05-30,6713.0,2,2,0,0,0,1,1
2021-05-31,4236.0,2,2,0,0,0,1,1
2021-06-01,5217.0,2,2,0,1,0,1,1
2021-06-02,5099.0,2,2,0,0,0,1,1
2021-06-03,4921.0,2,2,0,0,0,1,1
2021-06-04,5261.0,2,2,0,0,0,1,1
2021-06-05,5672.0,2,2,0,0,0,1,1
2021-06-06,5661.0,2,2,0,0,0,1,1
2021-06-07,5790.0,2,2,0,0,0,1,1
2021-06-08,4962.0,2,2,0,0,0,1,1
2021-06-09,4872.0,2,2,0,0,0,1,1
2021-06-10,4949.0,2,2,0,0,0,1,1
2021-06-11,5609.0,2,2,0,0,0,1,1
2021-06-12,6543.0,2,2,0,0,0,1,1
2021-06-13,6048.0,2,2,0,0,0,1,1
2021-06-14,5671.0,2,2,0,0,0,1,1
2021-06-15,4540.0,2,2,0,0,0,1,1
2021-06-16,5310.0,2,2,0,0,0,1,1
2021-06-17,6796.0,2,2,0,0,0,1,1
2021-06-18,6376.0,2,2,0,0,0,1,1
2021-06-19,6730.0,2,2,0,0,0,1,1
2021-06-20,6960.0,2,2,0,0,0,1,1
2021-06-21,7601.0,2,2,0,0,0,1,1
2021-06-22,6968.0,2,2,0,0,0,1,1
2021-06-23,8253.0,2,2,0,0,0,1,1
2021-06-24,7610.0,2,2,0,0,0,1,1
2021-06-25,8316.0,2,2,0,0,0,1,1
2021-06-26,8385.0,2,2,0,0,0,1,1
2021-06-27,7398.0,2,2,0,0,0,1,1
2021-06-28,7881.0,2,2,0,0,0,1,1
2021-06-29,8275.0,2,2,0,0,0,1,1
2021-06-30,7883.0,2,2,0,0,0,1,1
2021-07-01,10916.0,2,2,0,0,0,1,1
2021-07-02,10903.0,2,2,0,0,0,1,1
2021-07-03,10708.0,2,2,0,0,0,1,1
2021-07-04,9683.0,2,2,0,0,0,1,1
2021-07-05,13999.0,2,2,0,0,0,1,1
2021-07-06,11833.0,2,2,0,0,0,1,1
2021-07-07,11700.0,2,2,0,0,0,1,1
2021-07-08,13076.0,2,2,0,0,0,1,1
2021-07-09,13322.0,2,2,0,0,0,1,1
2021-07-10,12196.0,2,2,0,0,0,1,1
2021-07-11,11108.0,2,2,0,0,0,1,1
2021-07-12,10478.0,2,2,0,0,0,1,1
2021-07-13,8938.0,2,2,0,0,0,1,1
2021-07-14,8749.0,2,2,0,0,0,1,1
2021-07-15,10703.0,2,2,0,0,0,1,1
2021-07-16,10158.0,2,2,0,0,0,1,1
2021-07-17,10470.0,2,2,0,0,0,1,1
2021-07-18,10092.0,2,2,0,0,0,1,1
2021-07-19,9366.0,2,2,0,0,0,1,1
2021-07-20,9256.0,2,2,0,0,0,1,1
2021-07-21,10179.0,2,2,0,0,0,1,1
2021-07-22,10566.0,2,2,0,0,0,1,1
2021-07-23,12750.0,2,2,0,0,0,1,1
2021-07-24,11171.0,2,2,0,0,0,1,1
2021-07-25,10492.0,2,2,0,0,0,1,1
2021-07-26,11180.0,2,2,0,0,0,1,1
2021-07-27,10105.0,2,2,0,0,0,1,1
2021-07-28,12848.0,2,2,0,0,0,1,1
2021-07-29,13270.0,2,2,0,0,0,1,1
2021-07-30,11549.0,2,2,0,0,0,1,1
2021-07-31,10497.0,2,2,0,0,0,1,1
2021-08-01,10790.0,2,2,0,0,0,1,1
2021-08-02,9431.0,2,2,0,0,0,1,1
2021-08-03,9409.0,2,2,0,0,0,1,1
2021-08-04,14194.0,2,2,0,0,0,1,1
2021-08-05,15550.0,2,2,0,0,0,1,1
2021-08-06,14229.0,2,2,0,0,0,1,1
2021-08-07,12911.0,2,2,0,0,0,1,1
2021-08-08,11966.0,2,2,0,0,0,1,1
2021-08-09,9977.0,2,2,0,0,0,1,1
2021-08-10,9527.0,2,2,0,0,0,1,1
2021-08-11,12939.0,2,2,0,0,0,1,1
2021-08-12,12955.0,2,2,0,0,0,1,1
2021-08-13,11193.0,2,2,0,0,0,1,1
2021-08-14,10666.0,2,2,0,0,0,1,1
2021-08-15,10070.0,2,2,0,0,0,1,1
