date,subs,comedy,drama,show,gala,talkshow,gameshow,music
4/1/2021,2973,3,4,0,0,0,1,1
4/2/2021,2864,3,3,0,0,0,1,1
4/3/2021,3014,3,3,0,0,0,1,1
4/4/2021,3118,3,3,0,0,0,1,1
4/5/2021,2894,3,3,0,0,0,1,1
4/6/2021,2899,3,3,0,0,0,1,1
4/7/2021,2864,3,3,0,0,0,1,1
4/8/2021,2916,3,3,0,0,0,1,1
4/9/2021,2927,3,3,0,0,0,1,1
4/10/2021,3053,3,3,0,0,0,1,1
4/11/2021,3113,3,3,0,0,0,1,1
4/12/2021,3025,3,3,0,0,0,1,1
4/13/2021,2981,3,3,0,0,0,1,1
4/14/2021,3461,3,3,0,0,0,1,1
4/15/2021,3286,3,3,0,0,0,1,1
4/16/2021,3458,3,3,0,0,0,1,1
4/17/2021,3472,3,3,0,0,0,1,1
4/18/2021,3773,3,3,0,0,0,1,1
4/19/2021,3812,3,3,0,0,0,1,1
4/20/2021,5417,3,3,0,0,0,1,1
4/21/2021,7026,3,3,0,0,0,1,1
4/22/2021,3001,3,3,0,0,0,1,1
4/23/2021,3603,3,3,0,0,0,1,1
4/24/2021,3247,3,3,0,0,0,1,1
4/25/2021,3198,3,3,0,0,0,1,1
4/26/2021,3124,3,3,0,0,0,1,1
4/27/2021,3017,3,3,0,0,0,1,1
4/28/2021,2839,3,3,0,0,0,1,1
4/29/2021,2902,3,3,0,0,0,1,1
4/30/2021,3212,3,3,0,0,0,1,1
5/1/2021,3151,3,3,0,0,0,1,1
5/2/2021,3198,2,2,0,0,0,1,1
5/3/2021,3058,2,2,0,0,0,1,1
5/4/2021,3044,2,2,0,0,0,1,1
5/5/2021,2918,2,2,0,0,0,1,1
5/6/2021,3116,2,2,0,0,0,1,1
5/7/2021,3212,2,2,0,0,0,1,1
5/8/2021,3609,2,2,0,0,0,1,1
5/9/2021,3349,2,2,0,0,0,1,1
5/10/2021,3014,2,2,0,0,0,1,1
5/11/2021,3149,2,2,0,0,0,1,1
5/12/2021,3365,2,2,0,0,0,1,1
5/13/2021,3461,2,2,0,0,0,1,1
5/14/2021,3557,2,2,0,0,0,1,1
5/15/2021,3664,2,2,0,0,0,1,1
5/16/2021,3571,2,2,0,0,0,1,1
5/17/2021,3086,2,2,0,0,0,1,1
5/18/2021,3686,2,2,0,0,0,1,1
5/19/2021,3982,2,2,0,0,0,1,1
5/20/2021,4527,2,2,0,0,0,1,1
5/21/2021,6149,2,2,0,0,0,1,1
5/22/2021,8697,2,2,0,0,0,1,1
5/23/2021,14004,2,2,0,0,0,1,1
5/24/2021,9563,2,2,0,0,0,1,1
5/25/2021,8039,2,2,0,0,0,1,1
5/26/2021,6437,2,2,0,0,0,1,1
5/27/2021,6472,2,2,0,0,0,1,1
5/28/2021,5828,2,2,0,0,0,1,1
5/29/2021,7363,2,2,0,0,0,1,1
5/30/2021,6713,2,2,0,0,0,1,1
5/31/2021,4236,2,2,0,0,0,1,1
6/1/2021,5217,2,2,0,1,0,1,1
6/2/2021,5099,2,2,0,0,0,1,1
6/3/2021,4921,2,2,0,0,0,1,1
6/4/2021,5261,2,2,0,0,0,1,1
6/5/2021,5672,2,2,0,0,0,1,1
6/6/2021,5661,2,2,0,0,0,1,1
6/7/2021,5790,2,2,0,0,0,1,1
6/8/2021,4962,2,2,0,0,0,1,1
6/9/2021,4872,2,2,0,0,0,1,1
6/10/2021,4949,2,2,0,0,0,1,1
6/11/2021,5609,2,2,0,0,0,1,1
6/12/2021,6543,2,2,0,0,0,1,1
6/13/2021,6048,2,2,0,0,0,1,1
6/14/2021,5294,2,2,0,0,0,1,1
6/15/2021,4540,2,2,0,0,0,1,1
6/16/2021,5310,2,2,0,0,0,1,1
6/17/2021,6796,2,2,0,0,0,1,1
6/18/2021,6376,2,2,0,0,0,1,1
6/19/2021,6730,2,2,0,0,0,1,1
6/20/2021,6960,2,2,0,0,0,1,1
6/21/2021,7601,2,2,0,0,0,1,1
6/22/2021,6968,2,2,0,0,0,1,1
6/23/2021,8253,2,2,0,0,0,1,1
6/24/2021,8284.5,2,2,0,0,0,1,1
6/25/2021,8316,2,2,0,0,0,1,1
6/26/2021,8385,2,2,0,0,0,1,1
6/27/2021,7398,2,2,0,0,0,1,1
6/28/2021,7881,2,2,0,0,0,1,1
6/29/2021,8275,2,2,0,0,0,1,1
6/30/2021,7883,2,2,0,0,0,1,1
7/1/2021,10916,2,2,0,0,0,1,1
7/2/2021,10903,2,2,0,0,0,1,1
7/3/2021,10708,2,2,0,0,0,1,1
7/4/2021,9683,2,2,0,0,0,1,1
7/5/2021,13999,2,2,0,0,0,1,1
7/6/2021,12849.5,2,2,0,0,0,1,1
7/7/2021,11700,2,2,0,0,0,1,1
7/8/2021,13076,2,2,0,0,0,1,1
7/9/2021,13322,2,2,0,0,0,1,1
7/10/2021,12196,2,2,0,0,0,1,1
7/11/2021,11108,2,2,0,0,0,1,1
7/12/2021,10478,2,2,0,0,0,1,1
7/13/2021,8938,2,2,0,0,0,1,1
7/14/2021,8749,2,2,0,0,0,1,1
7/15/2021,10703,2,2,0,0,0,1,1
7/16/2021,10158,2,2,0,0,0,1,1
7/17/2021,10470,2,2,0,0,0,1,1
7/18/2021,10092,2,2,0,0,0,1,1
7/19/2021,9366,2,2,0,0,0,1,1
7/20/2021,9256,2,2,0,0,0,1,1
7/21/2021,10179,2,2,0,0,0,1,1
7/22/2021,10566,2,2,0,0,0,1,1
7/23/2021,12750,2,2,0,0,0,1,1
7/24/2021,11171,2,2,0,0,0,1,1
7/25/2021,10492,2,2,0,0,0,1,1
7/26/2021,11180,2,2,0,0,0,1,1
7/27/2021,10105,2,2,0,0,0,1,1
7/28/2021,12848,2,2,0,0,0,1,1
7/29/2021,13270,2,2,0,0,0,1,1
7/30/2021,11549,2,2,0,0,0,1,1
7/31/2021,10497,2,2,0,0,0,1,1
8/1/2021,10790,2,2,0,0,0,1,1
8/2/2021,9431,2,2,0,0,0,1,1
8/3/2021,9409,2,2,0,0,0,1,1
8/4/2021,14194,2,2,0,0,0,1,1
8/5/2021,15550,2,2,0,0,0,1,1
8/6/2021,14229,2,2,0,0,0,1,1
8/7/2021,12911,2,2,0,0,0,1,1
8/8/2021,11966,2,2,0,0,0,1,1
8/9/2021,9977,2,2,0,0,0,1,1
8/10/2021,9527,2,2,0,0,0,1,1
8/11/2021,12939,2,2,0,0,0,1,1
8/12/2021,12955,2,2,0,0,0,1,1
8/13/2021,11193,2,2,0,0,0,1,1
8/14/2021,10631.5,2,2,0,0,0,1,1
8/15/2021,10070,2,2,0,0,0,1,1
8/16/2021,8420,2,2,0,0,0,1,1
8/17/2021,9305,2,2,0,0,0,1,1
8/18/2021,11612,2,2,0,0,0,1,1
8/19/2021,11881,2,2,0,0,0,1,1
8/20/2021,11254,2,2,0,0,0,1,1
8/21/2021,12434,2,2,0,0,0,1,1
8/22/2021,10906,2,2,0,0,0,1,1
8/23/2021,9281,2,2,0,0,0,1,1
8/24/2021,9955,2,2,0,0,0,1,1
8/25/2021,13237,2,2,0,0,0,1,1
8/26/2021,11878,2,2,0,0,0,1,1
8/27/2021,11297,2,2,0,0,0,1,1
8/28/2021,13021,2,2,0,0,0,1,1
8/29/2021,10760,2,2,0,0,0,1,1
8/30/2021,9067,2,2,0,0,0,1,1
8/31/2021,8749,2,2,0,0,0,1,1
9/1/2021,13067,2,2,1,0,0,1,1
9/2/2021,12306,0,1,1,0,0,1,1
9/3/2021,11212,0,1,1,0,0,1,1
9/4/2021,11399,0,1,1,0,0,1,1
9/5/2021,10738,0,1,1,0,0,1,1
9/6/2021,9659,0,1,1,0,0,1,1
9/7/2021,10094,0,1,1,0,0,1,1
9/8/2021,15454,0,1,1,0,0,1,1
9/9/2021,14432,0,1,1,0,0,1,1
9/10/2021,11393,0,1,1,0,0,1,1
9/11/2021,13369,0,1,1,0,0,1,1
9/12/2021,9237,0,1,1,0,0,1,1
9/13/2021,8346,0,1,1,0,0,1,1
9/14/2021,8777,0,1,1,0,0,1,1
9/15/2021,7798,0,1,1,0,0,1,1
9/16/2021,6875,0,1,1,0,0,1,1
9/17/2021,7354,0,1,1,0,0,1,1
9/18/2021,8563,0,1,1,0,0,1,1
9/19/2021,9325,0,1,1,0,0,1,1
9/20/2021,7741,0,1,1,0,0,1,1
9/21/2021,8763,0,1,1,0,0,1,1
9/22/2021,9190,0,1,1,0,0,1,1
9/23/2021,9160,0,1,1,0,0,1,1
9/24/2021,8563,0,1,1,0,0,1,1
9/25/2021,9886,0,1,1,0,0,1,1
9/26/2021,8719,0,1,1,0,0,1,1
9/27/2021,7930,0,1,1,0,0,1,1
9/28/2021,8174,0,1,1,0,0,1,1
9/29/2021,9135,0,1,1,0,0,1,1
9/30/2021,11977,0,1,1,0,0,1,1
10/1/2021,10741,0,1,1,0,0,1,2
10/2/2021,10497,0,1,1,0,0,1,2
10/3/2021,9242,0,1,1,0,0,1,2
10/4/2021,8853,0,1,1,0,0,1,2
10/5/2021,8886,0,1,1,0,0,1,2
10/6/2021,8784.5,0,1,1,0,0,1,2
10/7/2021,8683,0,1,1,0,0,1,2
10/8/2021,8790,0,1,1,0,0,1,2
10/9/2021,8837,0,1,1,0,0,1,2
10/10/2021,9067,0,1,1,0,0,1,2
10/11/2021,8313,0,1,1,0,0,1,2
10/12/2021,7732.5,0,1,1,0,0,1,2
10/13/2021,7152,0,1,1,0,0,1,2
10/14/2021,8026,0,1,1,0,0,1,2
10/15/2021,7352,0,1,1,0,0,1,2
10/16/2021,13873,0,1,1,0,0,1,2
10/17/2021,10322,0,1,1,0,0,1,2
10/18/2021,7434,0,1,1,0,0,1,2
10/19/2021,7697,0,1,1,0,0,1,2
10/20/2021,6349,0,1,1,0,0,1,2
10/21/2021,6143,0,1,1,0,0,1,2
10/22/2021,6056,0,1,1,0,0,1,2
10/23/2021,8760,0,1,1,0,0,1,2
10/24/2021,7341,0,1,1,0,0,1,2
10/25/2021,6157,0,1,1,0,0,1,2
10/26/2021,5798,0,1,1,0,0,1,2
10/27/2021,5839,0,1,1,0,0,1,2
10/28/2021,6817,0,1,1,0,0,1,2
10/29/2021,7130,0,1,1,0,0,1,2
10/30/2021,8009,0,1,1,0,0,1,2
10/31/2021,5886,0,1,1,0,0,1,2
11/1/2021,6867,1,1,1,0,0,1,2
11/2/2021,5365,1,1,1,0,0,0,1
11/3/2021,6135,1,1,1,0,0,0,1
11/4/2021,6905,1,1,1,0,0,0,1
11/5/2021,7631,1,1,1,0,0,0,1
11/6/2021,9344,1,1,1,0,0,0,1
11/7/2021,7571,1,1,1,0,0,0,1
11/8/2021,6626,1,1,1,0,0,0,1
11/9/2021,6820,1,1,1,0,0,0,1
11/10/2021,7108,1,1,1,0,0,0,1
11/11/2021,7793,1,1,1,0,0,0,1
11/12/2021,7185,1,1,1,0,0,0,1
11/13/2021,6828,1,1,1,0,0,0,1
11/14/2021,6587,1,1,1,0,0,0,1
11/15/2021,6026,1,1,1,0,0,0,1
11/16/2021,7089,1,1,1,0,0,0,1
11/17/2021,6308,1,1,1,0,0,0,1
11/18/2021,6519,1,1,1,0,0,0,1
11/19/2021,6278,1,1,1,0,0,0,1
11/20/2021,6434,1,1,1,0,0,0,1
11/21/2021,6590,1,1,1,0,0,0,1
11/22/2021,7415,1,1,1,0,0,0,1
11/23/2021,6124,1,1,1,0,0,0,1
11/24/2021,6056,1,1,1,0,0,0,1
11/25/2021,7297,1,1,1,0,0,0,1
11/26/2021,6264,1,1,1,0,0,0,1
11/27/2021,7368,1,1,1,0,0,0,1
11/28/2021,7763,1,1,1,0,0,0,1
11/29/2021,5560,1,1,1,0,0,0,1
11/30/2021,7056,1,1,1,0,0,0,1
12/1/2021,6796,1,1,1,0,0,0,1
12/2/2021,6601,1,1,1,0,0,0,1
12/3/2021,5941,1,1,1,0,0,0,1
12/4/2021,7500,1,1,1,0,0,0,1
12/5/2021,7363,1,1,1,0,0,0,1
12/6/2021,6105,1,1,1,0,0,0,1
12/7/2021,5913,1,1,1,0,0,0,1
12/8/2021,5721,1,1,1,0,0,0,1
12/9/2021,6563,1,1,1,0,0,0,1
12/10/2021,6634,1,1,1,0,0,0,1
12/11/2021,7675,1,1,1,0,0,0,1
12/12/2021,6469,1,1,1,0,0,0,1
12/13/2021,6168,1,1,1,0,0,0,1
12/14/2021,6576,1,1,1,0,0,0,1
